split_mode,candidate,Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
random_disjoint,personal_profile_code32_no_support,VitalDB,train_bp_median,DBP,5.782753490668076,0.579182018204392,-0.3198951185666597,7.941439697241663,55.80288461538462,82.8798076923077,93.72115384615384,PASS*,PASS (Grade B)*
chronological_blocked,personal_profile_code32_no_support,Overall,natural,SBP,5.584332296361231,0.851517292912696,0.2637385200024348,7.916282641728238,59.07118478790834,84.57703559239395,93.71647976596782,PASS*,PASS (Grade B)*
chronological_blocked,personal_profile_code32_no_support,Overall,natural,DBP,3.038110091266604,0.8597172720900392,-0.0618023618961298,4.658381641852103,82.56338371526085,96.0787420770356,98.75548512920528,PASS*,PASS (Grade A)*
chronological_blocked,personal_profile_code32_no_support,MIMIC,natural,SBP,5.492869544571632,0.8759973339218012,0.2932078876551959,7.974675097106161,60.6998021760633,85.24480712166172,93.79574678536105,PASS*,PASS (Grade B)*
chronological_blocked,personal_profile_code32_no_support,MIMIC,natural,DBP,2.893422791464982,0.8737774494250297,-0.0001833810532717,4.592488517961755,84.64144411473788,95.91246290801186,98.41493570722058,PASS*,PASS (Grade A)*
chronological_blocked,personal_profile_code32_no_support,VitalDB,natural,SBP,5.673244644495157,0.8043793932238749,0.2350908943322988,7.859092532141592,57.48798076923077,83.92788461538461,93.63942307692308,PASS*,PASS (Grade B)*
chronological_blocked,personal_profile_code32_no_support,VitalDB,natural,DBP,3.17876284136222,0.8385713341843712,-0.1217031211577929,4.720840244739392,80.54326923076923,96.2403846153846,99.08653846153848,PASS*,PASS (Grade A)*
chronological_blocked,personal_profile_code32_no_support,Overall,ppg_permuted_1,SBP,7.449425281122915,0.7233426086183012,0.2637382593345549,10.808517512311967,48.7664553876158,75.45465626523648,87.71574841540712,FAIL*,FAIL (Grade C)*
chronological_blocked,personal_profile_code32_no_support,Overall,ppg_permuted_1,DBP,4.035302126180945,0.7595937839569258,-0.0618031270674878,6.098481738006213,73.22647489029741,91.7771818625061,96.97830326669916,PASS*,PASS (Grade A)*
chronological_blocked,personal_profile_code32_no_support,MIMIC,ppg_permuted_1,SBP,6.76707731439381,0.8079252167389006,0.2932078876551959,9.92742638077758,52.720079129574685,78.9564787339268,90.1706231454006,FAIL*,PASS (Grade B)*
chronological_blocked,personal_profile_code32_no_support,MIMIC,ppg_permuted_1,DBP,3.5181543151655488,0.8245064592806667,-0.0001833810532717,5.415146015519596,78.36053412462908,93.80811078140457,97.59396636993075,PASS*,PASS (Grade A)*
