Setting,Scope,BP,MAE,R2,ME,STD,within_5_mmHg,within_10_mmHg,within_15_mmHg,AAMI,BHS
QGHuber-hard-only | participant top30 route,MIMIC,SBP,12.368481681824296,0.4875913801579784,-1.3381490942060257,16.128675610812657,27.55026337265376,50.8741993718624,68.3779706704256,FAIL*,Grade D*
QGHuber-hard-only | participant top30 route,MIMIC,DBP,7.29462185672964,0.4376722602162678,-0.9186949524147284,10.082517950174578,46.10010633825457,75.57435022380493,89.27220120186958,FAIL*,Grade C*
QGHuber-hard-only | participant top30 route,VitalDB,SBP,10.547561246721479,0.47997578061490276,-0.23730693899518648,13.801216652033862,31.661524900837374,57.15733803437638,75.44733362714852,FAIL*,Grade D*
QGHuber-hard-only | participant top30 route,VitalDB,DBP,6.0335987279361545,0.5319153211226975,-0.38512577596557673,8.09560746345388,52.04936095196122,81.96562362274129,93.98413397972675,FAIL*,Grade B*
QGHuber-hard-only | oracle true-tail route,Overall,SBP,11.627249171498026,0.5116771028009582,-0.752945353970007,15.36551175446929,29.870418292070607,54.084430883318525,71.48043721756595,FAIL*,Grade D*
QGHuber-hard-only | oracle true-tail route,Overall,DBP,6.859905851752442,0.47611104982684205,-0.49262141161089096,9.516520631404367,48.3237418407941,77.82047815843343,90.867482909119,FAIL*,Grade C*
QGHuber-hard-only | oracle true-tail route,MIMIC,SBP,11.98036391115343,0.5097246517433957,-1.0571567570210672,15.795363754364395,29.015505601305737,52.93913989662933,70.17582906743823,FAIL*,Grade D*
QGHuber-hard-only | oracle true-tail route,MIMIC,DBP,7.118471964803503,0.46178866485081005,-0.5852604784025567,9.887502384024327,46.92608254816133,76.52644854959567,89.99802161386849,FAIL*,Grade C*
QGHuber-hard-only | oracle true-tail route,VitalDB,SBP,10.368641791379416,0.4896927071226286,0.33135579236544616,13.669672458262875,32.91758483913618,58.1665932128691,76.13045394446894,FAIL*,Grade D*
QGHuber-hard-only | oracle true-tail route,VitalDB,DBP,5.938298278949817,0.5382634568397199,-0.16242785111246996,8.04797856660881,53.305420890260024,82.43278977523137,93.96650506831203,FAIL*,Grade B*
QGHuber-hard-only | event soft fusion,Overall,SBP,11.706220199925966,0.5147500568964651,-1.0407603392798357,15.300110545560853,28.89421034336256,53.18740102738403,70.98316017148815,FAIL*,Grade D*
QGHuber-hard-only | event soft fusion,Overall,DBP,6.839823329865051,0.4824283312876242,-0.6837667916963064,9.446920824569355,48.247460507512265,77.9102777026766,91.01135529720752,FAIL*,Grade C*
QGHuber-hard-only | event soft fusion,MIMIC,SBP,12.102406009038766,0.5108742352351662,-1.3663681286195213,15.752983835175337,27.84331181838415,51.77312857036872,69.44753567277493,FAIL*,Grade D*
QGHuber-hard-only | event soft fusion,MIMIC,DBP,7.1044625593169695,0.46681202132816524,-0.8107963902808112,9.825079155942118,46.89269728219205,76.56354328956154,90.00791354452605,FAIL*,Grade C*
QGHuber-hard-only | event soft fusion,VitalDB,SBP,10.294094544298442,0.5025298172215499,0.11980397782275336,13.500075853616785,32.63992948435434,58.22829440282062,76.45658880564126,FAIL*,Grade D*
QGHuber-hard-only | event soft fusion,VitalDB,DBP,5.896569339442202,0.550621625436147,-0.2309950087115897,7.937804310996039,53.07624504186867,82.71044513001323,94.58792419568091,PASS*,Grade B*
