Setting,Scope,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
resnet_small | Population,Overall,SBP,15.260987654639056,0.22013740687988448,-2.6863229691492583,19.525721834828296,21.943902337748618,41.62998795831084,58.30461321263962,FAIL*,FAIL (Grade D)*
inception_time_wide | Population,VitalDB,DBP,8.116703944963765,0.29058101733587627,-0.41177102395653487,10.6214584398207,37.565462908147005,68.81460904412769,86.75713830320142,FAIL*,FAIL (Grade D)*
inception_time_wide | QGH,VitalDB,SBP,10.226581980882605,0.49058736257942903,0.3725168099608801,13.658390688525602,32.58800491825675,59.128375609089666,77.37601894439638,FAIL*,FAIL (Grade D)*
inception_time_wide | QGH,VitalDB,DBP,5.957534229132376,0.563659076003791,-0.39575340650292495,8.326871932120952,52.90769160708594,82.67680677626485,94.40320597477117,FAIL*,PASS (Grade B)*
patch_transformer | Population,VitalDB,SBP,12.608302075734029,0.2679936209543955,-0.8014265748688295,16.359236876211117,25.688783642242363,48.5951090668974,67.18429800992759,FAIL*,FAIL (Grade D)*
patch_transformer | Population,VitalDB,DBP,8.548929558974665,0.21957433927435666,-2.179085528863718,10.933669275969805,35.762102099367006,65.59041850721799,84.88546837287673,FAIL*,FAIL (Grade D)*
patch_transformer | QGH,VitalDB,SBP,10.595150863421333,0.45234463691686577,0.4009878182032917,14.16138665523958,31.64078509950362,57.72120770526891,75.77758550025047,FAIL*,FAIL (Grade D)*
patch_transformer | QGH,VitalDB,DBP,6.2747438021143545,0.5192479964448828,-0.5677643227472143,8.731789140226107,51.1589780955417,80.50002276970719,93.14176419691242,FAIL*,PASS (Grade B)*
patch_transformer_deep | Population,VitalDB,SBP,12.593941328129816,0.2726204562364738,-0.9844678318354927,16.29730264339711,25.58859693064347,48.63609453982422,67.22983742429072,FAIL*,FAIL (Grade D)*
patch_transformer_deep | Population,VitalDB,DBP,8.509526808108065,0.23622519337311343,-1.2790120798115383,10.954721581009208,35.63003779771392,65.84088528621523,84.93100778723985,FAIL*,FAIL (Grade D)*
patch_transformer_deep | QGH,VitalDB,SBP,10.668173579767283,0.45042467825074817,0.7876409072553942,14.169999782062552,30.9394781183114,57.28402932738285,75.5453344869985,FAIL*,FAIL (Grade D)*
patch_transformer_deep | QGH,VitalDB,DBP,6.248129816315472,0.5255520726785903,-0.1095173006382845,8.691979364856186,50.43034746573159,80.85067626030329,93.29659820574707,FAIL*,PASS (Grade B)*
patch_transformer_wide | Population,VitalDB,SBP,12.767561140328132,0.2635019445818524,0.8717639278001407,16.40588477441196,25.347238034518877,47.465731590691746,65.75436039892527,FAIL*,FAIL (Grade D)*
patch_transformer_wide | Population,VitalDB,DBP,8.552602256585459,0.2209632257340094,-1.1869519702013587,11.075361619401685,36.05355435129105,65.74980645748896,84.56669247233481,FAIL*,FAIL (Grade D)*
patch_transformer_wide | QGH,VitalDB,SBP,10.829764288001037,0.43379536172716016,0.845978075217362,14.380122705699405,30.92126235256615,56.605492053372195,74.5389134295733,FAIL*,FAIL (Grade D)*
patch_transformer_wide | QGH,VitalDB,DBP,6.31354249086723,0.5186564529876808,-0.3725408728845307,8.747681474663233,50.43490140716791,80.60020948130607,93.05523930962248,FAIL*,PASS (Grade B)*
