Setting,Scope,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_rmse,dbp_rmse,sbp_bias,dbp_bias,split_mode
past_gap60__feature_knn,Overall,2051,82040,4.590279416397141,2.5548985869439846,3.572589001670563,6.35962016916481,3.723813728265242,0.1212504345995069,-0.0102638340200028,random_disjoint
past_gap60__feature_knn,MIMIC,1011,40440,4.470255052081636,2.444937780550059,3.457596416315847,6.214773127710354,3.651877111176672,0.0870162504116633,-0.0905883706504842,random_disjoint
past_gap60__feature_knn,VitalDB,1040,41600,4.706956947476925,2.661793178544233,3.68437506301058,6.500428206578708,3.793744420454228,0.1545300117282665,0.0678208838005901,random_disjoint
past_gap60__nearest_record_time_bp,Overall,2051,82040,5.23725665518855,2.855130245242684,4.046193450215617,7.558746410444669,4.291102801403477,-0.0428536034746323,-0.018211987947383,random_disjoint
past_gap60__nearest_record_time_bp,MIMIC,1011,40440,5.019091764991526,2.604802662375891,3.811947213683709,7.179478566761901,3.955184573337796,-0.0010468221677634,-0.0296421451691232,random_disjoint
past_gap60__nearest_record_time_bp,VitalDB,1040,41600,5.449338101332004,3.098477539741076,4.27390782053654,7.927438516178587,4.617654078878865,-0.0834946187642904,-0.0071005562635568,random_disjoint
past_gap60__time_matched_feature_uniform,Overall,2051,82040,4.776346772917883,2.655855956454209,3.7161013646860463,6.638713923675302,3.86614310669678,0.1156605720984999,-0.0206358735355617,random_disjoint
past_gap60__time_matched_feature_uniform,MIMIC,1011,40440,4.627538917609422,2.526460976062967,3.5769999468361946,6.419089437874738,3.742728958378729,0.0870548585991713,-0.1049511484764921,random_disjoint
past_gap60__time_matched_feature_uniform,VitalDB,1040,41600,4.921005178414858,2.781642807584542,3.8513239929997,6.852214265160272,3.98611589895596,0.1434686262790973,0.0613283023925927,random_disjoint
past_gap60__time_stratum_random_uniform,Overall,2051,82040,8.199531754977759,4.387747530167652,6.293639642572706,10.868431186901718,5.957534157219622,0.0080929011266328,-0.0242801757395877,random_disjoint
past_gap60__time_stratum_random_uniform,MIMIC,1011,40440,6.543142579641824,3.3944392526892595,4.968790916165541,8.807768711132699,4.773121907896728,0.1841822838335197,-0.0058222068405528,random_disjoint
past_gap60__time_stratum_random_uniform,VitalDB,1040,41600,9.809733155232207,5.3533577883702055,7.581545471801207,12.871632882096408,7.108919526513322,-0.1630862968701582,-0.0422234512750919,random_disjoint
past_gap300__fixed_blend,Overall,2051,82040,4.27177095413208,2.374424695968628,3.323097944259644,5.753957748413086,3.3467459678649902,0.0844480767846107,-0.0429528653621673,random_disjoint
past_gap300__fixed_blend,MIMIC,1011,40440,4.392612934112549,2.418675422668457,3.405644178390503,6.01228666305542,3.5393145084381104,0.076780267059803,-0.1003242656588554,random_disjoint
past_gap300__fixed_blend,VitalDB,1040,41600,4.154298782348633,2.3314077854156494,3.242853164672852,5.50283145904541,3.1595466136932373,0.0919020697474479,0.012818762101233,random_disjoint
past_gap300__trained_blend,Overall,2051,82040,4.27177095413208,2.374424695968628,3.323097944259644,5.753957748413086,3.3467459678649902,0.0844480767846107,-0.0429528653621673,random_disjoint
past_gap300__trained_blend,MIMIC,1011,40440,4.392612934112549,2.418675422668457,3.405644178390503,6.01228666305542,3.5393145084381104,0.076780267059803,-0.1003242656588554,random_disjoint
past_gap300__trained_blend,VitalDB,1040,41600,4.154298782348633,2.3314077854156494,3.242853164672852,5.50283145904541,3.1595466136932373,0.0919020697474479,0.012818762101233,random_disjoint
